taxonID,area,gazetteer,status,referenceID,remarks
S115010030,"ZA, Gauteng",,NATIVE,1740,
S115010040,"ZA, Gauteng",,NATIVE,1740,
S115010090,"ZA, Gauteng",,NATIVE,3183,
S115010100,"ZA, Gauteng",,NATIVE,1740,
S115010140,"ZA, Gauteng",,NATIVE,3183,
S115010190,"ZA, Gauteng",,NATIVE,3183,
S115010200,"ZA, Gauteng",,NATIVE,3183,
S115010250,"ZA, Gauteng",,NATIVE,3183,
S360980010,"ZA, Gauteng",,NATIVE,128,
S300010030,"ZA, Gauteng",,NATIVE,138,
S494960005,"ZA, Gauteng",,NATIVE,2773,
S185010080,"ZA, Gauteng",,NATIVE,2056,
S185010150,"ZA, Gauteng",,NATIVE,72,
S316510010,"ZA, Gauteng",,NATIVE,128,
S376020200,"ZA, Gauteng",,NATIVE,1089,
S490010010,"ZA, Gauteng",,NATIVE,438,
S494060010,"ZA, Gauteng",,NATIVE,2772,
S494080020,"ZA, Gauteng",,NATIVE,2773,
S110010070,"ZA, Gauteng",,NATIVE,138,
S315110520,"ZA, Gauteng",,NATIVE,78,
S100010010,"ZA, Gauteng",,NATIVE,2256,
S305715010,"ZA, Gauteng",,NATIVE,78,
S500910030,"ZA, Gauteng",,NATIVE,2918,
S310010280,"ZA, Gauteng",,NATIVE,128,
S310010370,"ZA, Gauteng",,NATIVE,228,
S310010410,"ZA, Gauteng",,NATIVE,128,
S310010420,"ZA, Gauteng",,NATIVE,228,
S173810030,"ZA, Gauteng",,NATIVE,78,
S303020010,"ZA, Gauteng",,NATIVE,128,
S300550030,"ZA, Gauteng",,NATIVE,228,
S300510070,"ZA, Gauteng",,NATIVE,2745,
S300510180,"ZA, Gauteng",,NATIVE,138,
S300510210,"ZA, Gauteng",,NATIVE,228,
S300050010,"ZA, Gauteng",,NATIVE,2740,
S494190010,"ZA, Gauteng",,NATIVE,2769,
S494190410,"ZA, Gauteng",,NATIVE,2769,
S500510410,"ZA, Gauteng",,NATIVE,2649,
S494190540,"ZA, Gauteng",,NATIVE,2770,
S494190680,"ZA, Gauteng",,NATIVE,2770,
S494190900,"ZA, Gauteng",,NATIVE,2769,
S115020010,"ZA, Gauteng",,NATIVE,4412,
S185230020,"ZA, Gauteng",,NATIVE,72,
S304030030,"ZA, Gauteng",,NATIVE,227,
S185230040,"ZA, Gauteng",,NATIVE,132,
S295510090,"ZA, Gauteng",,NATIVE,190,
S295520040,"ZA, Gauteng",,NATIVE,78,
S295520045,"ZA, Gauteng",,NATIVE,138,
S185240010,"ZA, Gauteng",,NATIVE,72,
S185240020,"ZA, Gauteng",,NATIVE,227,
S170520030,"ZA, Gauteng",,NATIVE,132,
S305030160,"ZA, Gauteng",,NATIVE,128,
S503710090,"ZA, Gauteng",,NATIVE,2460,
S376040140,"ZA, Gauteng",,NATIVE,1089,
S362030270,"ZA, Gauteng",,NATIVE,121,
S362030060,"ZA, Gauteng",,NATIVE,78,
S362030080,"ZA, Gauteng",,NATIVE,121,
S494345080,"ZA, Gauteng",,NATIVE,2773,
S275010030,"ZA, Gauteng",,NATIVE,128,
S218010010,"ZA, Gauteng",,NATIVE,128,
S245220010,"ZA, Gauteng",,NATIVE,228,
S245110100,"ZA, Gauteng",,NATIVE,227,
S491120200,"ZA, Gauteng",,NATIVE,2460,
S302260170,"ZA, Gauteng",,NATIVE,78,
S302260210,"ZA, Gauteng",,NATIVE,132,
S363120030,"ZA, Gauteng",,NATIVE,132,
S180010090,"ZA, Gauteng",,NATIVE,128,
S180010100,"ZA, Gauteng",,NATIVE,190,
S180010190,"ZA, Gauteng",,NATIVE,132,
S500980110,"ZA, Gauteng",,NATIVE,2918,
S500650350,"ZA, Gauteng",,NATIVE,2460,
S185260030,"ZA, Gauteng",,NATIVE,2056,
S185260040,"ZA, Gauteng",,NATIVE,2056,
S185260060,"ZA, Gauteng",,NATIVE,228,
S185260260,"ZA, Gauteng",,NATIVE,138,
S185260390,"ZA, Gauteng",,NATIVE,138,
S325010100,"ZA, Gauteng",,NATIVE,227,
S302081310,"ZA, Gauteng",,NATIVE,236,
S172140110,"ZA, Gauteng",,NATIVE,132,
S130110030,"ZA, Gauteng",,NATIVE,132,
S130110250,"ZA, Gauteng",,NATIVE,227,
S130110280,"ZA, Gauteng",,NATIVE,228,
S130110330,"ZA, Gauteng",,NATIVE,132,
S130110440,"ZA, Gauteng",,NATIVE,132,
S130110470,"ZA, Gauteng",,NATIVE,128,
S130110540,"ZA, Gauteng",,NATIVE,132,
S130110560,"ZA, Gauteng",,NATIVE,132,
S130110640,"ZA, Gauteng",,NATIVE,132,
S390200060,"ZA, Gauteng",,NATIVE,2585,
S345030010,"ZA, Gauteng",,NATIVE,78,
S303030010,"ZA, Gauteng",,NATIVE,2083,
S421020120,"ZA, Gauteng",,NATIVE,3867,
S421020130,"ZA, Gauteng",,NATIVE,3867,
S420200030,"ZA, Gauteng",,NATIVE,3862,
S421020190,"ZA, Gauteng",,NATIVE,552,
S270420020,"ZA, Gauteng",,NATIVE,78,
S360730010,"ZA, Gauteng",,NATIVE,132,
S360720130,"ZA, Gauteng",,NATIVE,128,
S280020610,"ZA, Gauteng",,NATIVE,128,
S280020680,"ZA, Gauteng",,NATIVE,190,
S280021080,"ZA, Gauteng",,NATIVE,190,
S280021170,"ZA, Gauteng",,NATIVE,138,
S280021330,"ZA, Gauteng",,NATIVE,128,
S280021550,"ZA, Gauteng",,NATIVE,138,
S155020010,"ZA, Gauteng",,NATIVE,132,
S155020030,"ZA, Gauteng",,NATIVE,78,
S155020210,"ZA, Gauteng",,NATIVE,227,
S155020330,"ZA, Gauteng",,NATIVE,227,
S185530010,"ZA, Gauteng",,NATIVE,227,
S185520010,"ZA, Gauteng",,NATIVE,2056,
S185520020,"ZA, Gauteng",,NATIVE,2056,
S185510020,"ZA, Gauteng",,NATIVE,2056,
S185530030,"ZA, Gauteng",,NATIVE,2056,
S295240070,"ZA, Gauteng",,NATIVE,132,
S295240120,"ZA, Gauteng",,NATIVE,190,
S295240500,"ZA, Gauteng",,NATIVE,78,
S295240610,"ZA, Gauteng",,NATIVE,78,
S295240660,"ZA, Gauteng",,NATIVE,132,
S501010290,"ZA, Gauteng",,NATIVE,2460,
S501010590,"ZA, Gauteng",,NATIVE,2460,
S363150030,"ZA, Gauteng",,NATIVE,132,
S420240020,"ZA, Gauteng",,NATIVE,3487,
S363820130,"ZA, Gauteng",,NATIVE,190,
S363580110,"ZA, Gauteng",,NATIVE,147,
S172160090,"ZA, Gauteng",,NATIVE,228,
S160200120,"ZA, Gauteng",,NATIVE,138,
S494570010,"ZA, Gauteng",,NATIVE,2772,
S363670080,"ZA, Gauteng",,NATIVE,78,
S363670190,"ZA, Gauteng",,NATIVE,190,
S363670210,"ZA, Gauteng",,NATIVE,132,
S363140190,"ZA, Gauteng",,NATIVE,132,
S302080150,"ZA, Gauteng",,NATIVE,2745,
S505150010,"ZA, Gauteng",,NATIVE,496,
S420270010,"ZA, Gauteng",,NATIVE,2716,
S185050020,"ZA, Gauteng",,NATIVE,72,
S185050120,"ZA, Gauteng",,NATIVE,228,
S302080250,"ZA, Gauteng",,NATIVE,2742,
S308010080,"ZA, Gauteng",,NATIVE,132,
S308010090,"ZA, Gauteng",,NATIVE,132,
S250260080,"ZA, Gauteng",,NATIVE,78,
S507160010,"ZA, Gauteng",,NATIVE,2460,
S115160040,"ZA, Gauteng",,NATIVE,4412,
S115160060,"ZA, Gauteng",,NATIVE,4412,
S115160080,"ZA, Gauteng",,NATIVE,128,
S115160090,"ZA, Gauteng",,NATIVE,4412,
S115160100,"ZA, Gauteng",,NATIVE,1740,
S115150090,"ZA, Gauteng",,NATIVE,4412,
S115160150,"ZA, Gauteng",,NATIVE,138,
S115160170,"ZA, Gauteng",,NATIVE,4412,
S115150130,"ZA, Gauteng",,NATIVE,1740,
S115160210,"ZA, Gauteng",,NATIVE,1740,
S115160270,"ZA, Gauteng",,NATIVE,4412,
S115150210,"ZA, Gauteng",,NATIVE,227,
S115160280,"ZA, Gauteng",,NATIVE,4412,
S173030040,"ZA, Gauteng",,NATIVE,138,
S270420030,"ZA, Gauteng",,NATIVE,132,
S170560060,"ZA, Gauteng",,NATIVE,132,
S170560130,"ZA, Gauteng",,NATIVE,129,
S493050240,"ZA, Gauteng",,NATIVE,2781,
S493050260,"ZA, Gauteng",,NATIVE,2460,
S494690010,"ZA, Gauteng",,NATIVE,2771,
S494700060,"ZA, Gauteng",,NATIVE,2325,
S305510050,"ZA, Gauteng",,NATIVE,2742,
S305510080,"ZA, Gauteng",,NATIVE,138,
S305510100,"ZA, Gauteng",,NATIVE,132,
S305510360,"ZA, Gauteng",,NATIVE,78,
S494720070,"ZA, Gauteng",,NATIVE,2460,
S494720080,"ZA, Gauteng",,NATIVE,2773,
S361120040,"ZA, Gauteng",,NATIVE,78,
S185570020,"ZA, Gauteng",,NATIVE,2056,
S185570040,"ZA, Gauteng",,NATIVE,2056,
S494720180,"ZA, Gauteng",,NATIVE,2773,
S185570050,"ZA, Gauteng",,NATIVE,132,
S494720220,"ZA, Gauteng",,NATIVE,2773,
S494720230,"ZA, Gauteng",,NATIVE,2773,
S185570060,"ZA, Gauteng",,NATIVE,2056,
S360980070,"ZA, Gauteng",,NATIVE,72,
S258600330,"ZA, Gauteng",,NATIVE,190,
S258600360,"ZA, Gauteng",,NATIVE,78,
S258600440,"ZA, Gauteng",,NATIVE,228,
S295260010,"ZA, Gauteng",,NATIVE,227,
S290020110,"ZA, Gauteng",,NATIVE,78,
S115140080,"ZA, Gauteng",,NATIVE,228,
S494720410,"ZA, Gauteng",,NATIVE,2773,
S501260040,"ZA, Gauteng",,NATIVE,2918,
S501260150,"ZA, Gauteng",,NATIVE,2856,
S501260160,"ZA, Gauteng",,NATIVE,2460,
S504010100,"ZA, Gauteng",,NATIVE,3487,
S363310030,"ZA, Gauteng",,NATIVE,78,
S363260140,"ZA, Gauteng",,NATIVE,190,
S363435010,"ZA, Gauteng",,NATIVE,190,
S363530040,"ZA, Gauteng",,NATIVE,228,
S363090010,"ZA, Gauteng",,NATIVE,132,
S363190020,"ZA, Gauteng",,NATIVE,132,
S363260340,"ZA, Gauteng",,NATIVE,78,
S363080020,"ZA, Gauteng",,NATIVE,78,
S363570100,"ZA, Gauteng",,NATIVE,78,
S363435020,"ZA, Gauteng",,NATIVE,78,
S155010030,"ZA, Gauteng",,NATIVE,228,
S110030070,"ZA, Gauteng",,NATIVE,1930,
S110030080,"ZA, Gauteng",,NATIVE,553,
S110030170,"ZA, Gauteng",,NATIVE,553,
S360580020,"ZA, Gauteng",,NATIVE,78,
S360580190,"ZA, Gauteng",,NATIVE,228,
S240090020,"ZA, Gauteng",,NATIVE,132,
S495290040,"ZA, Gauteng",,NATIVE,2772,
S495440010,"ZA, Gauteng",,NATIVE,2772,
S495320040,"ZA, Gauteng",,NATIVE,2773,
S495475060,"ZA, Gauteng",,NATIVE,2773,
S495790040,"ZA, Gauteng",,NATIVE,2773,
S306320010,"ZA, Gauteng",,NATIVE,227,
S494940040,"ZA, Gauteng",,NATIVE,2776,
S306100020,"ZA, Gauteng",,NATIVE,228,
S490030010,"ZA, Gauteng",,NATIVE,3547,
S507220070,"ZA, Gauteng",,NATIVE,3928,
S110040030,"ZA, Gauteng",,NATIVE,1812,
S110040110,"ZA, Gauteng",,NATIVE,1812,
S185410010,"ZA, Gauteng",,NATIVE,78,
S168130010,"ZA, Gauteng",,NATIVE,190,
S185410020,"ZA, Gauteng",,NATIVE,2056,
S420330040,"ZA, Gauteng",,NATIVE,2716,
S460260040,"ZA, Gauteng",,NATIVE,423,
S173660050,"ZA, Gauteng",,NATIVE,132,
S173660170,"ZA, Gauteng",,NATIVE,132,
S173660210,"ZA, Gauteng",,NATIVE,132,
S316520010,"ZA, Gauteng",,NATIVE,78,
S316550215,"ZA, Gauteng",,NATIVE,128,
S495010010,"ZA, Gauteng",,NATIVE,2775,
S235090020,"ZA, Gauteng",,NATIVE,132,
S390235030,"ZA, Gauteng",,NATIVE,2585,
S300550130,"ZA, Gauteng",,NATIVE,236,
S300550190,"ZA, Gauteng",,NATIVE,78,
S250380020,"ZA, Gauteng",,NATIVE,78,
S460270010,"ZA, Gauteng",,NATIVE,423,
S340040040,"ZA, Gauteng",,NATIVE,138,
S385020010,"ZA, Gauteng",,NATIVE,553,
S302080540,"ZA, Gauteng",,NATIVE,138,
S495090010,"ZA, Gauteng",,NATIVE,2773,
S295380050,"ZA, Gauteng",,NATIVE,78,
S304020190,"ZA, Gauteng",,NATIVE,2745,
S304120030,"ZA, Gauteng",,NATIVE,2742,
S495960020,"ZA, Gauteng",,NATIVE,2773,
S495790060,"ZA, Gauteng",,NATIVE,2773,
S495150190,"ZA, Gauteng",,NATIVE,2773,
S306420020,"ZA, Gauteng",,NATIVE,78,
S420420165,"ZA, Gauteng",,NATIVE,3757,
S420420180,"ZA, Gauteng",,NATIVE,553,
S385124130,"ZA, Gauteng",,NATIVE,4350,
S235120210,"ZA, Gauteng",,NATIVE,190,
S185080010,"ZA, Gauteng",,NATIVE,132,
S222120110,"ZA, Gauteng",,NATIVE,1740,
S222120180,"ZA, Gauteng",,NATIVE,78,
S295310060,"ZA, Gauteng",,NATIVE,78,
S295310080,"ZA, Gauteng",,NATIVE,132,
S362270060,"ZA, Gauteng",,NATIVE,132,
S362270110,"ZA, Gauteng",,NATIVE,78,
S362270140,"ZA, Gauteng",,NATIVE,132,
S506085100,"ZA, Gauteng",,NATIVE,9418,
S160120040,"ZA, Gauteng",,NATIVE,227,
S385055020,"ZA, Gauteng",,NATIVE,415,
S385006020,"ZA, Gauteng",,NATIVE,417,
S508170038,"ZA, Gauteng",,NATIVE,947,
S304160040,"ZA, Gauteng",,NATIVE,129,
S310120050,"ZA, Gauteng",,NATIVE,228,
S272050300,"ZA, Gauteng",,NATIVE,78,
S495300010,"ZA, Gauteng",,NATIVE,2773,
S172210100,"ZA, Gauteng",,NATIVE,228,
S305740130,"ZA, Gauteng",,NATIVE,2418,
S493060015,"ZA, Gauteng",,NATIVE,2460,
