author,ID,citation,title,year,source,doi,link,remarks
"Vári L., Kroon D. M. & Krüger M.",1,"Vári L., Kroon D. M. & Krüger M., 2002, Classification and checklist of the species of Lepidoptera recorded in Southern Africa. vol  issue  pages i–xxi, 1–385",Classification and checklist of the species of Lepidoptera recorded in Southern Africa.,2002,,,,
Bouyer Th.,3,"Bouyer Th., 1999a, Catalogue of African Saturniidae. vol 1 issue  pages 1–73, pls 1–2",Catalogue of African Saturniidae.,1999,,,,
Puplesis R. K. & Diškus A.,5,"Puplesis R. K. & Diškus A., 2005, Checklist of African Tischeriidae (Insecta: Lepidoptera) with a redescription of the formerly neglected Tischeria urticicolella from Equatorial Africa. vol 22 issue  pages 1051–1055",Checklist of African Tischeriidae (Insecta: Lepidoptera) with a redescription of the formerly neglected Tischeria urticicolella from Equatorial Africa.,2005,,,,
Diškus A. & Puplesis R. K.,6,"Diškus A. & Puplesis R. K., 2003, Catalogue of the world Nepticuloidea & Tischerioidea. – In: Puplesis R. & Diškus A. (Eds), The Nepticuloidea & Tischerioidea (Lepidoptera) - a global view, with strategic regional revisions. vol  issue  pages 1–512, chapter pagination 318–436","Catalogue of the world Nepticuloidea & Tischerioidea. – In: Puplesis R. & Diškus A. (Eds), The Nepticuloidea & Tischerioidea (Lepidoptera) - a global view, with strategic regional revisions.",2003,,,https://www.researchgate.net/publication/282577423,
Ghesquière J.,7,"Ghesquière J., 1940a, Lépidoptères Microlépidoptères (première partie). vol Sér. III (II) 7 issue 1 pages 1–120, pls i–v",Lépidoptères Microlépidoptères (première partie).,1940,,,,
D'Abrera B.,8,"D'Abrera B., 1987, Sphingidae Mundi. Hawk Moths of the world based on a checklist by Alan Hayes and the collection he curated in the British Museum (Natural History). vol  issue  pages 1–226",Sphingidae Mundi. Hawk Moths of the world based on a checklist by Alan Hayes and the collection he curated in the British Museum (Natural History).,1987,,,,
Kitching I. J. & Cadiou J.-M.,9,"Kitching I. J. & Cadiou J.-M., 2000, Hawkmoths of the world. An annotated and illustrated revisionary checklist (Lepidoptera: Sphingidae). vol  issue  pages i–viii, 1–227, pls 1–7",Hawkmoths of the world. An annotated and illustrated revisionary checklist (Lepidoptera: Sphingidae).,2000,,,,
Pierre J.,10,"Pierre J., 2001a, Un nouveau Polyptychus du Nigeria (Lepidoptera, Sphingidae). vol 106 issue 2 pages 215","Un nouveau Polyptychus du Nigeria (Lepidoptera, Sphingidae).",2001,,,https://www.persee.fr/doc/bsef_0037-928x_2001_num_106_2_16755,
Pierre J.,11,"Pierre J., 2001b, Les Sphinx du Gabon (Lepidoptera, Sphingidae). vol 106 issue 3 pages 261–271","Les Sphinx du Gabon (Lepidoptera, Sphingidae).",2001,,,https://www.persee.fr/doc/bsef_0037-928x_2001_num_106_3_16763,
Basquin P. & Pierre J.,12,"Basquin P. & Pierre J., 2004, Complément à la connaissance des Sphinx du Gabon (Lep. Sphingidae). vol 109 issue 1 pages 91–92",Complément à la connaissance des Sphinx du Gabon (Lep. Sphingidae).,2004,,,https://www.persee.fr/doc/bsef_0037-928x_2004_num_109_1_16088,
Basquin P. & Pierre J.,13,"Basquin P. & Pierre J., 2005, Contribution à la connaissance des Sphinx de la République Centrafricaine avec descriptions de nouvelles espèce et sous-espèce et d'une femelle inédite (Lepidoptera, Sphingidae). vol 110 issue 4–5 pages 495–508","Contribution à la connaissance des Sphinx de la République Centrafricaine avec descriptions de nouvelles espèce et sous-espèce et d'une femelle inédite (Lepidoptera, Sphingidae).",2005,,,https://www.persee.fr/doc/bsef_0037-928x_2005_num_110_4_16270,
Ghesquière J.,14,"Ghesquière J., 1940c, Quelques microlépidoptères gelechiadae congolais. vol 34 issue 1 pages 101–108",Quelques microlépidoptères gelechiadae congolais.,1940,,,,
Ghesquière J.,15,"Ghesquière J., 1939b, La teigne des crucifères au Congo belge. vol 33 issue  pages 61–66",La teigne des crucifères au Congo belge.,1939,,,,
Ghesquière J.,16,"Ghesquière J., 1940b, Un Pyroderces sénégalais nuisible au mil (Lép. Cosmopterygidae). vol 33 issue 3 pages 277–278",Un Pyroderces sénégalais nuisible au mil (Lép. Cosmopterygidae).,1940,,,,
Ghesquière J.,17,"Ghesquière J., 1939a, Un nouveau parasite extracongolais. vol 32 issue 1 pages 143",Un nouveau parasite extracongolais.,1939,,,,
Ghesquière J.,18,"Ghesquière J., 1942b, Un nouvel ennemi du mil au Sénégal. vol 35 issue 4 pages 424",Un nouvel ennemi du mil au Sénégal.,1942,,,,
Ghesquière J.,19,"Ghesquière J., 1931, Sur l'importance économique et la bionomie de deux pyraustines nouvelles pour le Congo belge Leucinodes orbonalis Guen. et Pimelephila ghesquieri Tams. vol 71 issue 6–8 pages 131–138",Sur l'importance économique et la bionomie de deux pyraustines nouvelles pour le Congo belge Leucinodes orbonalis Guen. et Pimelephila ghesquieri Tams.,1931,,,,
Prout L. B.,20,"Prout L. B., 1922c, Geometridae. – In: Prout, L. B. & Prout, A. E., New South African Heterocera. vol 8 issue 3 pages 149–186, pl. 1","Geometridae. – In: Prout, L. B. & Prout, A. E., New South African Heterocera.",1922,,,https://www.biodiversitylibrary.org/page/50414672,
Scalercio S.,21,"Scalercio S., 2006, Through species and ethnospecies: edible Psychidae in Equatorial Africa (Lepidoptera Tineoidea). vol 138 issue 2 pages 137–147",Through species and ethnospecies: edible Psychidae in Equatorial Africa (Lepidoptera Tineoidea).,2006,,,,
Bourgogne J.,22,"Bourgogne J., 1986c, Une espèce peu connue: Acanthopsyche carbonaria Karsch (Lep. Psychidae). vol 91 issue 9–10 pages 287–291",Une espèce peu connue: Acanthopsyche carbonaria Karsch (Lep. Psychidae).,1986,,,https://www.persee.fr/doc/bsef_0037-928x_1986_num_91_9_18233,
Goodger D. T. & Watson A.,23,"Goodger D. T. & Watson A., 1995, The Afrotropical Tiger-Moths. An illustrated catalogue, with generic diagnoses and species distribution, of the Afrotropical Arctiinae (Lepidoptera: Arctiidae). vol  issue  pages 1–65","The Afrotropical Tiger-Moths. An illustrated catalogue, with generic diagnoses and species distribution, of the Afrotropical Arctiinae (Lepidoptera: Arctiidae).",1995,,,,
Darge Ph.,24,"Darge Ph., 2006a, Un nouveau taxon de Pseudoclanis originaire de l'île de Bioko (Lepidoptera, Sphingidae). vol 62 issue 4 pages 55–56","Un nouveau taxon de Pseudoclanis originaire de l'île de Bioko (Lepidoptera, Sphingidae).",2006,,,,
Zeller P. C.,25,"Zeller P. C., 1852b, Lepidoptera Microptera, quae J. A. Wahlberg in Caffrorum terra collegit. vol (Ser. 3) 40 issue  pages 1–120","Lepidoptera Microptera, quae J. A. Wahlberg in Caffrorum terra collegit.",1852,,,https://www.biodiversitylibrary.org/page/34531645,
Dubatolov V. V.,26,"Dubatolov V. V., 2006b, New genera and species of Arctiinae from the Afrotropical fauna (Lepidoptera: Arctiidae). vol 27 issue 3 pages 139–152",New genera and species of Arctiinae from the Afrotropical fauna (Lepidoptera: Arctiidae).,2006,,,https://www.zobodat.at/pdf/NEVA_27_0139-0152.pdf,
Cieslak A. & Häuser C. L.,27,"Cieslak A. & Häuser C. L., 2006, Zwei neue Arten der Gattung Asura Walker, 1854 aus Ostafrika (Lepidoptera: Arctiidae, Lithosiinae). vol 27 issue 4 pages 215–220","Zwei neue Arten der Gattung Asura Walker, 1854 aus Ostafrika (Lepidoptera: Arctiidae, Lithosiinae).",2006,,,https://www.zobodat.at/pdf/NEVA_27_0215-0220.pdf,
Brown J. W.,28,"Brown J. W., 2005, Tortricidae (Lepidoptera). – In Landry, B. (ed.) World Catalogue of Insects, Volume 5. vol  issue  pages 1–741","Tortricidae (Lepidoptera). – In Landry, B. (ed.) World Catalogue of Insects, Volume 5.",2005,,,,
Razowski J.,29,"Razowski J., 1993a, Cochylini (Lepidoptera: Tortricidae) of the Ethiopian Region. vol 36 issue 1 pages 137–159",Cochylini (Lepidoptera: Tortricidae) of the Ethiopian Region.,1993,,,,
Razowski J.,30,"Razowski J., 2001, Tuckia, a new Afrotropical Archipini genus, with description of one new species (Lepidoptera: Tortricidae) vol 70 issue  pages 87–90","Tuckia, a new Afrotropical Archipini genus, with description of one new species (Lepidoptera: Tortricidae)",2001,,,,
Razowski J.,31,"Razowski J., 2002a, The genera of Tortricidae (Lepidoptera) common for the Palaearctic and Afrotropical regions. vol 45 issue 3 pages 197–205",The genera of Tortricidae (Lepidoptera) common for the Palaearctic and Afrotropical regions.,2002,,,,
Razowski J.,32,"Razowski J., 2005a, Tortricidae (Lepidoptera) from South Africa. 1: Tortricini and Cochylini. vol 74 issue 4 pages 495–508",Tortricidae (Lepidoptera) from South Africa. 1: Tortricini and Cochylini.,2005,,,,
Razowski J.,33,"Razowski J., 2006a, Tortricidae (Lepidoptera) of South Africa. 2: Three new genera of Tortricinae. vol 75 issue 3 pages 417–425",Tortricidae (Lepidoptera) of South Africa. 2: Three new genera of Tortricinae.,2006,,,,
Razowski J.,34,"Razowski J., 2006b, Tortricidae (Lepidoptera) from South Africa. 3: Hectaphelia gen. n., Aphelia Hübner and Clepsis Guenée. vol 75 issue 3 pages 427–438","Tortricidae (Lepidoptera) from South Africa. 3: Hectaphelia gen. n., Aphelia Hübner and Clepsis Guenée.",2006,,,,
Diakonoff A.,35,"Diakonoff A., 1988b, Tortricidae from Madagascar Part 2. Olethreutinae, 4 (Lepidoptera). vol 24 issue 3 pages 307–330","Tortricidae from Madagascar Part 2. Olethreutinae, 4 (Lepidoptera).",1988,,,https://gallica.bnf.fr/ark:/12148/bpt6k6141059g/f318.item,
Meyrick E.,36,"Meyrick E., 1930a, Exotic Microlepidoptera 3. vol 3 issue 18–20 pages 545–640",Exotic Microlepidoptera 3.,1930,,,https://www.biodiversitylibrary.org/page/60297905,
Razowski J.,37,"Razowski J., 1966, World fauna of the Tortricini (Lepidoptera Tortricidae). vol 1966 issue  pages 1–576, pls 1–41",World fauna of the Tortricini (Lepidoptera Tortricidae).,1966,,,,
Razowski J.,38,"Razowski J., 1986, The data on Tortricini (Lepidoptera, Tortricidae) published after 1966. vol 29 issue 19 pages 423–440","The data on Tortricini (Lepidoptera, Tortricidae) published after 1966.",1986,,,http://www.isez.pan.krakow.pl/journals/azc/pdf/29/29_19.pdf,
