taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks
S100010010,,Mesocomys pulchriceps Cameron,has parasite,6968,
S100010010,,Undefined Mosses ,has host,10384,
S100010020,,Undefined Mosses ,has host,10384,
S100010050,,Undefined Mosses ,has host,10384,
S100010080,,Undefined Mosses ,has host,10384,
S110030040,,Undefined Grasses ,has host,10384,
S110030290,,Undefined Grasses ,has host,6968,
S110040170,,Undefined Grasses ,has host,10384,
S110050010,,Cyclopia falcata (Harv.) Kies,has host,7881,
S110050010,,Cyclopia subternata Vogel,has host,10384,
S110050010,,Virgilia divaricata Adamson,has host,7882,
S110050010,,Virgilia oroboides (P. J. Bergius) T. M. Salter,has host,4527,
S110050010,,Virgilia sp. ,has host,873,
S115010030,,Combretum apiculatum Sond.,has host,1740,
S115010040,,Zanthoxylum capense (Thunb.) Harv.,has host,1740,
S115010095,,Schotia brachypetala Sond.,has host,1752,
S115010100,,Lannea discolor (Sond.) Engl.,has host,1740,
S115010110,,Boscia oleoides (Burch. ex. DC) Tölken,has host,3183,
S115010130,,Cassipourea malosana (Baker) Alston,has host,3183,
S115010135,,Senegalia mellifera (Benth.) Seigler & Ebinger,has host,10724,
S115010140,,Combretum molle R. Br ex G. Don.,has host,3183,
S115010190,,Afrocanthium gilfillanii (N.E. Br.) O.B. Miller,has host,3183,
S115010190,,Canthium inerme (L.f.) Kuntze,has host,3183,
S115010190,,Vangueria parvifolia Sond.,has host,3183,
S115010230,,Vepris lanceolata (Lam.) G.Don,has host,1752,
S115010250,,Combretum zeyheri Sond.,has host,3183,
S115020010,,Leucosidea sericea Eckl. & Zeyh.,has host,4412,
S115030010,,Commiphora pyracanthoides Engl.,has host,3184,
S115030030,,Commiphora africana (A. Rich.) Endl.,has host,3185,
S115050010,,Rhus lancea L. f.,has host,1740,
S115050010,,Schinus molle L.,has host,8283,
S115050010,,Searsia chirindensis (Baker f.) Moffett,has host,8283,
S115050010,,Searsia dentata (Thunb.) F. A. Barkley,has host,8283,
S115050010,,Searsia lancea (L. f.) Moffett,has host,8283,
S115050010,,"Searsia leptodictya (Diels) T. S. Yi, A. J. Mill & J. Wen",has host,8283,
S115050010,,Searsia lucida (L.) F. A. Barkley,has host,8283,
S115050010,,Searsia pyroides (Burch.) Moffett,has host,8283,
